Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,TVOC_eCO2_ratio,Temperature[C]_25th_percentile,Temperature[C]_50th_percentile,Temperature[C]_75th_percentile,Humidity[%]_25th_percentile,Humidity[%]_50th_percentile,Humidity[%]_75th_percentile,TVOC[ppb]_25th_percentile,TVOC[ppb]_50th_percentile,TVOC[ppb]_75th_percentile,eCO2[ppm]_25th_percentile,eCO2[ppm]_50th_percentile,eCO2[ppm]_75th_percentile
11.997,53.35,1147.0,414.0,12876.0,19437.0,938.817,1.97,2.05,13.55,2.113,0.048,2.7705314009661834,0,1,1,0,0,0,0,0,1,0,0,1
-0.775,47.73,1329.0,412.0,12992.0,19397.0,938.778,2.03,2.1,13.94,2.174,0.049,3.2257281553398056,0,1,1,0,1,1,0,0,0,0,0,1
24.247,48.48,35.0,400.0,13126.0,20014.0,939.618,0.7,0.73,4.84,0.755,0.017,0.0875,0,0,0,0,1,1,1,1,1,1,1,1
20.764,47.12,1120.0,480.0,12837.0,19447.0,938.908,2.35,2.44,16.2,2.525,0.057,2.333333333333333,0,0,1,1,1,1,0,0,1,0,0,0
-15.433,53.11,1333.0,408.0,12959.0,19391.0,938.702,1.81,1.88,12.43,1.938,0.044,3.267156862745098,1,1,1,0,0,1,0,0,0,0,0,1
23.736,47.29,86.0,400.0,13101.0,19967.0,939.603,0.63,0.66,4.34,0.677,0.015,0.215,0,0,0,1,1,1,1,1,1,1,1,1
26.05,39.26,0.0,400.0,13371.0,21010.0,937.4915,1.45,1.51,10.01,1.562,0.035,0.0,0,0,0,1,1,1,1,1,1,1,1,1
17.939,49.87,1149.0,480.0,12849.0,19441.0,938.939,1.85,1.93,12.75,1.989,0.045,2.39375,0,0,1,0,1,1,0,0,1,0,0,0
27.56,39.165000000000006,0.0,400.0,13444.0,21010.0,937.4915,1.79,1.86,12.31,1.92,0.043,0.0,0,0,0,1,1,1,1,1,1,1,1,1
-4.312,56.65,268.0,400.0,13121.0,19992.0,939.513,0.63,0.65,4.33,0.675,0.015,0.67,1,1,1,0,0,0,0,1,1,1,1,1
-20.249,50.72,1387.0,416.0,12972.0,19380.0,938.704,1.91,1.98,13.15,2.05,0.046,3.3341346153846154,1,1,1,0,0,1,0,0,0,0,0,1
13.19,47.42,1191.0,410.0,12889.0,19431.0,938.754,2.06,2.14,14.2,2.215,0.05,2.904878048780488,0,1,1,1,1,1,0,0,0,0,0,1
26.06,47.12,94.0,406.0,12785.0,20624.0,937.4915,1.77,1.84,12.18,1.899,0.043,0.2315270935960591,0,0,0,1,1,1,1,1,1,0,0,1
-5.222,57.76,358.0,400.0,13057.0,19901.0,939.258,0.41,0.43,2.83,0.441,0.01,0.895,1,1,1,0,0,0,0,1,1,1,1,1
3.048,53.44,881.0,480.0,12805.0,19514.0,939.068,2.4,2.49,16.5,2.573,0.058,1.8354166666666667,0,1,1,0,0,0,0,1,1,0,0,0
-6.076,55.92,218.0,400.0,13140.0,20039.0,939.622,0.8,0.83,5.51,0.859,0.019,0.545,1,1,1,0,0,0,0,1,1,1,1,1
20.527,52.89,1126.0,480.0,12837.0,19450.0,938.9,1.86,1.93,12.81,1.998,0.045,2.345833333333333,0,0,1,0,0,1,0,0,1,0,0,0
12.382,51.27,1306.0,400.0,12946.0,19402.0,938.765,2.35,2.44,16.17,2.522,0.057,3.265,0,1,1,0,0,1,0,0,0,1,1,1
28.25,45.0,7.0,414.0,12870.0,20795.0,937.624,2.17,2.26,14.95,2.332,0.053,0.0169082125603864,0,0,0,1,1,1,1,1,1,0,0,1
28.36,43.82,198.0,423.0,12781.0,20522.0,937.4915,1.65,1.72,11.37,1.773,0.04,0.4680851063829787,0,0,0,1,1,1,0,1,1,0,0,1
26.03,47.38,66.0,400.0,12787.0,20677.0,937.4915,1.87,1.94,12.85,2.004,0.045,0.165,0,0,0,1,1,1,1,1,1,1,1,1
-7.678,52.47,1320.0,400.0,13000.0,19405.0,938.795,2.34,2.43,16.11,2.512,0.057,3.3,1,1,1,0,0,1,0,0,0,1,1,1
-4.075,52.72,697.0,480.0,12708.0,19563.0,939.099,2.48,2.58,17.1,2.667,0.06,1.4520833333333334,0,1,1,0,0,1,0,1,1,0,0,0
20.377,51.94,1230.0,415.0,12909.0,19427.0,938.736,1.34,1.39,9.23,1.439,0.033,2.963855421686747,0,0,1,0,0,1,0,0,0,0,0,1
12.834,53.49,1174.0,409.0,12884.0,19441.0,938.761,1.85,1.92,12.73,1.986,0.045,2.87041564792176,0,1,1,0,0,0,0,0,1,0,0,1
20.532,53.79,1203.0,400.0,12912.0,19425.0,938.695,1.71,1.78,11.77,1.836,0.041,3.0075,0,0,1,0,0,0,0,0,0,1,1,1
21.86,48.02,7.0,400.0,13158.0,20052.0,939.628,0.87,0.9,5.97,0.932,0.021,0.0175,0,0,0,0,1,1,1,1,1,1,1,1
43.51,39.165000000000006,2784.5,400.0,13044.0,19595.0,937.4915,0.79,0.82,5.42,0.845,0.019,6.96125,0,0,0,1,1,1,0,0,0,1,1,1
25.51,43.48,0.0,400.0,13299.0,21010.0,937.4915,1.89,1.96,13.01,2.028,0.046,0.0,0,0,0,1,1,1,1,1,1,1,1,1
20.217,47.7,1176.0,400.0,12929.0,19436.0,938.684,1.83,1.9,12.58,1.962,0.044,2.94,0,0,1,0,1,1,0,0,1,1,1,1
20.79,48.26,1205.0,400.0,12920.0,19425.0,938.69,1.61,1.68,11.11,1.733,0.039,3.0125,0,0,1,0,1,1,0,0,0,1,1,1
23.476,56.77,13.0,400.0,12641.0,19701.0,939.784,0.16,0.25,0.9,0.272,0.0779999999999999,0.0325,0,0,0,0,0,0,1,1,1,1,1,1
-18.137,53.91,1381.0,410.0,12984.0,19386.0,938.723,1.78,1.85,12.24,1.909,0.043,3.368292682926829,1,1,1,0,0,0,0,0,0,0,0,1
12.004,53.54,1187.0,432.0,12872.0,19423.0,938.808,1.81,1.88,12.48,1.946,0.044,2.747685185185185,0,1,1,0,0,0,0,0,1,0,0,1
53.22,39.165000000000006,2784.5,480.0,12407.0,18490.0,937.4915,3.5050000000000003,3.625,24.15,3.725,0.0779999999999999,5.801041666666666,0,0,0,1,1,1,0,0,0,0,0,0
19.953,53.35,1197.0,401.0,12913.0,19432.0,938.73,1.58,1.64,10.84,1.691,0.038,2.9850374064837903,0,0,1,0,0,0,0,0,0,0,0,1
55.2,39.165000000000006,2784.5,480.0,12407.0,18490.0,937.4915,3.5050000000000003,3.625,24.15,3.725,0.0779999999999999,5.801041666666666,0,0,0,1,1,1,0,0,0,0,0,0
22.403,51.66,0.0,400.0,12594.0,19682.0,939.81,0.0,0.0,0.0,0.0,0.006,0.0,0,0,0,0,0,1,1,1,1,1,1,1
25.81,49.18,218.0,438.0,12761.0,20507.0,937.4915,1.29,1.34,8.88,1.384,0.031,0.4977168949771689,0,0,0,0,1,1,0,1,1,0,0,0
12.804,47.97,1057.0,424.0,12880.0,19476.0,938.826,1.81,1.88,12.44,1.94,0.044,2.4929245283018866,0,1,1,0,1,1,0,0,1,0,0,1
20.831,50.24,0.0,400.0,13190.0,20126.0,939.625,0.85,0.89,5.88,0.917,0.021,0.0,0,0,1,0,1,1,1,1,1,1,1,1
29.61,39.72,52.0,412.0,12841.0,20722.0,937.547,2.16,2.25,14.89,2.322,0.052,0.1262135922330097,0,0,0,1,1,1,1,1,1,0,0,1
28.19,45.24,24.0,400.0,12864.0,20759.0,937.549,2.18,2.27,15.03,2.343,0.053,0.06,0,0,0,1,1,1,1,1,1,1,1,1
18.445,52.62,1124.0,404.0,12911.0,19451.0,938.694,1.94,2.01,13.33,2.079,0.047,2.782178217821782,0,0,1,0,0,1,0,0,1,0,0,1
38.79,39.165000000000006,2784.5,400.0,12881.0,19372.0,937.4915,0.6,0.62,4.14,0.645,0.015,6.96125,0,0,0,1,1,1,0,0,0,1,1,1
27.29,40.09,171.0,400.0,13216.0,20986.0,937.4915,1.9,1.98,13.1,2.042,0.046,0.4275,0,0,0,1,1,1,0,1,1,1,1,1
-0.38,47.56,1331.0,403.0,12953.0,19394.0,938.68,2.11,2.19,14.51,2.262,0.051,3.30272952853598,0,1,1,1,1,1,0,0,0,0,0,1
4.674,47.86,1341.0,417.0,12948.0,19393.0,938.694,1.93,2.01,13.31,2.075,0.047,3.2158273381294964,0,1,1,0,1,1,0,0,0,0,0,1
-2.935,51.74,825.0,480.0,12767.0,19529.0,939.135,2.62,2.72,18.0,2.807,0.063,1.71875,0,1,1,0,0,1,0,1,1,0,0,0
12.133,51.97,1195.0,427.0,12874.0,19433.0,938.792,1.75,1.81,12.01,1.874,0.042,2.798594847775176,0,1,1,0,0,1,0,0,0,0,0,1
-5.948,54.06,1331.0,400.0,12963.0,19400.0,938.715,1.9,1.98,13.11,2.044,0.046,3.3275,1,1,1,0,0,0,0,0,0,1,1,1
36.78,45.52,2784.5,400.0,13057.0,19558.0,937.4915,0.41,0.43,2.85,0.445,0.01,6.96125,0,0,0,1,1,1,0,0,0,1,1,1
0.986,48.14,1335.0,408.0,12990.0,19395.0,938.785,2.03,2.11,14.0,2.183,0.049,3.272058823529412,0,1,1,0,1,1,0,0,0,0,0,1
12.838,53.62,1189.0,407.0,12884.0,19433.0,938.752,1.84,1.91,12.65,1.973,0.045,2.921375921375921,0,1,1,0,0,0,0,0,0,0,0,1
-4.204,55.21,318.0,400.0,13103.0,19941.0,939.376,0.29,0.3,2.02,0.314,0.007,0.795,1,1,1,0,0,0,0,1,1,1,1,1
14.312,51.21,1140.0,400.0,12891.0,19452.0,938.78,1.92,2.0,13.23,2.062,0.047,2.85,0,0,1,0,0,1,0,0,1,1,1,1
42.31,39.165000000000006,22.0,400.0,13527.0,21010.0,937.4915,0.88,0.92,6.07,0.947,0.021,0.055,0,0,0,1,1,1,1,1,1,1,1,1
28.35,43.74,50.0,400.0,12801.0,20700.0,937.4915,1.95,2.02,13.41,2.091,0.047,0.125,0,0,0,1,1,1,1,1,1,1,1,1
28.87,42.45,205.0,422.0,12770.0,20530.0,937.4915,1.72,1.79,11.85,1.847,0.042,0.485781990521327,0,0,0,1,1,1,0,1,1,0,0,1
28.86,42.02,168.0,433.0,12776.0,20555.0,937.4915,1.58,1.65,10.9,1.7,0.038,0.3879907621247113,0,0,0,1,1,1,0,1,1,0,0,0
-4.898,52.0,339.0,400.0,13093.0,19933.0,939.346,0.49,0.51,3.38,0.527,0.012,0.8475,1,1,1,0,0,1,0,1,1,1,1,1
43.05,39.165000000000006,2784.5,400.0,12930.0,19433.0,937.4915,0.29,0.3,2.02,0.315,0.007,6.96125,0,0,0,1,1,1,0,0,0,1,1,1
4.17,58.2,351.0,400.0,13102.0,19864.0,939.638,1.52,1.58,10.48,1.634,0.037,0.8775,0,1,1,0,0,0,0,1,1,1,1,1
20.702,53.92,1193.0,400.0,12916.0,19424.0,938.695,1.55,1.61,10.66,1.663,0.038,2.9825,0,0,1,0,0,0,0,0,0,1,1,1
18.077,49.67,1097.0,480.0,12853.0,19449.0,938.928,1.99,2.06,13.66,2.131,0.048,2.285416666666667,0,0,1,0,1,1,0,0,1,0,0,0
25.79,49.44,240.0,442.0,12755.0,20472.0,937.4915,1.76,1.83,12.15,1.894,0.043,0.5429864253393665,0,0,0,0,1,1,0,1,1,0,0,0
-4.166,53.48,267.0,400.0,13127.0,19995.0,939.445,0.49,0.51,3.38,0.527,0.012,0.6675,0,1,1,0,0,0,0,1,1,1,1,1
-9.214,52.42,32.0,400.0,13261.0,20231.0,939.712,2.78,2.88,19.1,2.979,0.067,0.08,1,1,1,0,0,1,1,1,1,1,1,1
-4.975,55.18,247.0,400.0,13127.0,20016.0,939.54,0.43,0.45,2.97,0.463,0.01,0.6175,1,1,1,0,0,0,0,1,1,1,1,1
-5.057,61.765,628.0,480.0,12862.0,19634.0,939.21,2.49,2.59,17.15,2.674,0.06,1.3083333333333331,1,1,1,0,0,0,0,1,1,0,0,0
-4.462,56.92,325.0,400.0,13105.0,19940.0,939.428,0.41,0.43,2.84,0.443,0.01,0.8125,1,1,1,0,0,0,0,1,1,1,1,1
20.27,51.05,1141.0,480.0,12835.0,19432.0,938.899,2.09,2.18,14.42,2.248,0.051,2.377083333333333,0,0,1,0,0,1,0,0,1,0,0,0
2.864,48.74,1226.0,400.0,13001.0,19417.0,938.81,2.17,2.25,14.91,2.325,0.053,3.065,0,1,1,0,1,1,0,0,0,1,1,1
26.91,43.51,78.0,408.0,12778.0,20654.0,937.4915,2.21,2.29,15.18,2.368,0.053,0.1911764705882352,0,0,0,1,1,1,1,1,1,0,0,1
-6.416,49.38,79.0,400.0,13234.0,20148.0,939.636,2.17,2.26,14.96,2.332,0.053,0.1975,1,1,1,0,1,1,1,1,1,1,1,1
-4.082,51.36,279.0,400.0,13123.0,19987.0,939.448,0.38,0.39,2.6,0.406,0.009,0.6975,0,1,1,0,0,1,0,1,1,1,1,1
12.043,52.43,1159.0,415.0,12884.0,19442.0,938.768,1.91,1.98,13.14,2.049,0.046,2.792771084337349,0,1,1,0,0,1,0,0,1,0,0,1
13.342,47.99,1055.0,432.0,12873.0,19466.0,938.83,1.55,1.61,10.66,1.663,0.038,2.4421296296296298,0,1,1,0,1,1,0,0,1,0,0,1
-4.026,51.49,1281.0,400.0,12969.0,19413.0,938.701,1.76,1.83,12.1,1.887,0.043,3.2025,0,1,1,0,0,1,0,0,0,1,1,1
17.97,53.13,1193.0,413.0,12898.0,19427.0,938.741,1.72,1.78,11.81,1.841,0.042,2.88861985472155,0,0,1,0,0,1,0,0,0,0,0,1
-0.342,51.53,892.0,480.0,12784.0,19503.0,939.095,2.54,2.64,17.49,2.728,0.062,1.8583333333333332,0,1,1,0,0,1,0,1,1,0,0,0
19.6,53.6,1245.0,413.0,12904.0,19417.0,938.745,1.49,1.55,10.29,1.604,0.036,3.01452784503632,0,0,1,0,0,0,0,0,0,0,0,1
16.958,47.22,58.0,400.0,13200.0,20118.0,939.631,0.64,0.67,4.42,0.69,0.016,0.145,0,0,1,1,1,1,1,1,1,1,1,1
-4.196,59.51,776.0,480.0,12668.0,19548.0,939.144,2.57,2.67,17.67,2.755,0.062,1.6166666666666667,1,1,1,0,0,0,0,1,1,0,0,0
25.5,45.36,0.0,400.0,13167.0,20951.0,937.4915,1.9,1.97,13.08,2.039,0.046,0.0,0,0,0,1,1,1,1,1,1,1,1,1
58.9875,39.165000000000006,2784.5,480.0,12701.0,18490.0,937.4915,3.5050000000000003,3.625,24.15,3.725,0.0779999999999999,5.801041666666666,0,0,0,1,1,1,0,0,0,0,0,0
20.836,52.57,1086.0,480.0,12830.0,19454.0,938.9,2.07,2.15,14.26,2.224,0.05,2.2625,0,0,1,0,0,1,0,0,1,0,0,0
26.16,46.93,124.0,411.0,12774.0,20625.0,937.4915,2.02,2.1,13.89,2.165,0.049,0.3017031630170316,0,0,0,1,1,1,0,1,1,0,0,1
19.115,50.83,1268.0,424.0,12900.0,19420.0,938.698,1.77,1.83,12.15,1.895,0.043,2.990566037735849,0,0,1,0,0,1,0,0,0,0,0,1
20.487,49.67,1283.0,409.0,12897.0,19403.0,938.708,1.7,1.77,11.71,1.825,0.041,3.136919315403423,0,0,1,0,1,1,0,0,0,0,0,1
20.549,48.94,1117.0,400.0,12928.0,19439.0,938.703,1.43,1.48,9.83,1.532,0.035,2.7925,0,0,1,0,1,1,0,0,1,1,1,1
18.536,48.01,1170.0,400.0,12929.0,19436.0,938.702,1.47,1.53,10.11,1.577,0.036,2.925,0,0,1,0,1,1,0,0,1,1,1,1
10.97,56.18,13.0,400.0,12537.0,19630.0,939.798,0.05,0.14,0.08,0.16,0.0779999999999999,0.0325,0,1,1,0,0,0,1,1,1,1,1,1
20.737,51.37,1228.0,416.0,12903.0,19423.0,938.684,1.44,1.5,9.94,1.551,0.035,2.951923076923077,0,0,1,0,0,1,0,0,0,0,0,1
-0.84,51.55,912.0,480.0,12781.0,19510.0,939.062,2.14,2.22,14.7,2.292,0.052,1.9,0,1,1,0,0,1,0,1,1,0,0,0
10.392,51.49,1007.0,400.0,13003.0,19472.0,938.754,1.92,2.0,13.24,2.064,0.047,2.5175,0,1,1,0,0,1,0,0,1,1,1,1
-20.731,53.87,1333.0,405.0,12965.0,19391.0,938.749,2.0,2.08,13.78,2.149,0.049,3.291358024691358,1,1,1,0,0,0,0,0,0,0,0,1
20.666,47.43,1174.0,400.0,12915.0,19440.0,938.672,1.64,1.71,11.31,1.764,0.04,2.935,0,0,1,1,1,1,0,0,1,1,1,1
20.777,53.84,1166.0,400.0,12924.0,19435.0,938.703,2.12,2.21,14.61,2.279,0.051,2.915,0,0,1,0,0,0,0,0,1,1,1,1
57.61,39.165000000000006,2784.5,480.0,12407.0,18490.0,937.4915,3.5050000000000003,3.625,24.15,3.725,0.0779999999999999,5.801041666666666,0,0,0,1,1,1,0,0,0,0,0,0
16.994,52.79,1140.0,480.0,12846.0,19440.0,938.912,1.96,2.04,13.5,2.106,0.048,2.375,0,0,1,0,0,1,0,0,1,0,0,0
13.897,47.25,1130.0,400.0,12904.0,19448.0,938.741,2.23,2.32,15.35,2.394,0.054,2.825,0,0,1,1,1,1,0,0,1,1,1,1
-4.542,55.86,259.0,400.0,13124.0,19997.0,939.498,0.39,0.41,2.69,0.42,0.009,0.6475,1,1,1,0,0,0,0,1,1,1,1,1
18.068,47.67,1153.0,401.0,12929.0,19442.0,938.738,1.85,1.92,12.74,1.987,0.045,2.8753117206982544,0,0,1,0,1,1,0,0,1,0,0,1
14.824,47.12,1025.0,480.0,12821.0,19477.0,939.089,2.06,2.14,14.16,2.208,0.05,2.1354166666666665,0,0,1,1,1,1,0,0,1,0,0,0
26.41,46.38,174.0,449.0,12766.0,20546.0,937.4915,1.63,1.69,11.2,1.747,0.039,0.3875278396436525,0,0,0,1,1,1,0,1,1,0,0,0
25.93,47.53,66.0,400.0,12787.0,20664.0,937.4915,1.76,1.83,12.13,1.891,0.043,0.165,0,0,0,1,1,1,1,1,1,1,1,1
20.347,54.24,0.0,400.0,13213.0,20133.0,939.604,0.83,0.87,5.74,0.895,0.02,0.0,0,0,1,0,0,0,1,1,1,1,1,1
26.51,46.24,197.0,432.0,12766.0,20526.0,937.4915,1.94,2.02,13.36,2.084,0.047,0.4560185185185185,0,0,0,1,1,1,0,1,1,0,0,1
19.676,47.79,1021.0,480.0,12832.0,19472.0,938.995,2.25,2.34,15.52,2.42,0.055,2.127083333333333,0,0,1,0,1,1,0,0,1,0,0,0
12.567,53.21,1109.0,433.0,12868.0,19453.0,938.826,2.03,2.11,13.95,2.175,0.049,2.561200923787529,0,1,1,0,0,1,0,0,1,0,0,0
20.773,46.88,1004.0,480.0,12837.0,19484.0,938.937,2.05,2.13,14.14,2.205,0.05,2.091666666666667,0,0,1,1,1,1,0,0,1,0,0,0
-2.365,47.66,1281.0,400.0,12958.0,19402.0,938.696,1.98,2.05,13.61,2.122,0.048,3.2025,0,1,1,0,1,1,0,0,0,1,1,1
28.66,42.76,75.0,447.0,12797.0,20686.0,937.516,2.47,2.57,17.0,2.651,0.06,0.1677852348993288,0,0,0,1,1,1,1,1,1,0,0,0
14.997,52.69,1094.0,480.0,12815.0,19456.0,939.077,2.03,2.11,13.96,2.177,0.049,2.279166666666667,0,0,1,0,0,1,0,0,1,0,0,0
26.881,50.3,34.0,400.0,12960.0,19882.0,939.786,0.13,0.13,0.88,0.136,0.006,0.085,0,0,0,0,1,1,1,1,1,1,1,1
16.483,51.08,1251.0,413.0,12924.0,19419.0,938.738,1.52,1.58,10.43,1.627,0.037,3.029055690072639,0,0,1,0,0,1,0,0,0,0,0,1
-1.131,48.91,1291.0,406.0,12960.0,19396.0,938.683,1.88,1.95,12.93,2.016,0.046,3.1798029556650245,0,1,1,0,1,1,0,0,0,0,0,1
14.694,47.39,1153.0,401.0,12906.0,19450.0,938.787,1.69,1.76,11.66,1.818,0.041,2.8753117206982544,0,0,1,1,1,1,0,0,1,0,0,1
5.331,51.1,1339.0,417.0,12954.0,19395.0,938.708,1.79,1.86,12.31,1.92,0.043,3.211031175059952,0,1,1,0,0,1,0,0,0,0,0,1
25.81,46.1,0.0,400.0,12988.0,20819.0,937.4915,2.21,2.29,15.19,2.369,0.054,0.0,0,0,0,1,1,1,1,1,1,1,1,1
24.795,55.98,12.0,400.0,13137.0,20045.0,939.63,0.7,0.72,4.79,0.746,0.017,0.03,0,0,0,0,0,0,1,1,1,1,1,1
-4.452,56.23,324.0,400.0,13102.0,19945.0,939.435,0.32,0.33,2.19,0.342,0.008,0.81,1,1,1,0,0,0,0,1,1,1,1,1
28.46,43.64,202.0,433.0,12772.0,20513.0,937.4915,1.45,1.5,9.95,1.551,0.035,0.4665127020785219,0,0,0,1,1,1,0,1,1,0,0,0
-4.11,53.78,692.0,480.0,12698.0,19558.0,939.136,2.58,2.68,17.76,2.769,0.063,1.4416666666666669,0,1,1,0,0,0,0,1,1,0,0,0
-5.354,50.74,248.0,400.0,13122.0,20016.0,939.594,0.45,0.47,3.13,0.488,0.011,0.62,1,1,1,0,0,1,0,1,1,1,1,1
7.814,52.7,1074.0,400.0,13000.0,19470.0,938.717,2.6,2.7,17.89,2.789,0.063,2.685,0,1,1,0,0,1,0,0,1,1,1,1
56.86,39.165000000000006,2784.5,400.0,13382.0,19638.0,937.4915,0.59,0.61,4.06,0.632,0.014,6.96125,0,0,0,1,1,1,0,0,0,1,1,1
19.933,51.31,22.0,400.0,13195.0,20135.0,939.605,1.29,1.35,8.91,1.39,0.031,0.055,0,0,1,0,0,1,1,1,1,1,1,1
28.62,42.45,200.0,449.0,12762.0,20515.0,937.4915,1.87,1.94,12.85,2.003,0.045,0.44543429844098,0,0,0,1,1,1,0,1,1,0,0,0
-4.979,50.53,342.0,400.0,13089.0,19917.0,939.301,0.23,0.24,1.56,0.243,0.006,0.855,1,1,1,0,0,1,0,1,1,1,1,1
-4.081,50.21,291.0,400.0,13119.0,19967.0,939.435,0.37,0.38,2.52,0.393,0.009,0.7275,0,1,1,0,1,1,0,1,1,1,1,1
-9.144,50.1,22.0,400.0,13263.0,20233.0,939.682,2.11,2.19,14.5,2.262,0.051,0.055,1,1,1,0,1,1,1,1,1,1,1,1
18.79,46.84,1180.0,480.0,12850.0,19431.0,938.884,1.89,1.96,13.0,2.028,0.046,2.458333333333333,0,0,1,1,1,1,0,0,1,0,0,0
35.17,49.77,2784.5,400.0,13117.0,19560.0,937.4915,0.35,0.36,2.41,0.376,0.008,6.96125,0,0,0,0,1,1,0,0,0,1,1,1
-1.283,51.01,887.0,480.0,12785.0,19513.0,939.038,2.34,2.43,16.1,2.51,0.057,1.8479166666666669,0,1,1,0,0,1,0,1,1,0,0,0
-4.334,53.59,293.0,400.0,13120.0,19967.0,939.372,0.28,0.29,1.91,0.298,0.007,0.7325,1,1,1,0,0,0,0,1,1,1,1,1
13.481,48.6,1130.0,400.0,12897.0,19446.0,938.765,1.83,1.9,12.59,1.964,0.044,2.825,0,1,1,0,1,1,0,0,1,1,1,1
48.86,39.165000000000006,2784.5,480.0,12407.0,18490.0,937.4915,3.5050000000000003,3.625,24.15,3.725,0.0779999999999999,5.801041666666666,0,0,0,1,1,1,0,0,0,0,0,0
26.71,45.01,190.0,455.0,12755.0,20525.0,937.4915,1.29,1.34,8.88,1.384,0.031,0.4175824175824176,0,0,0,1,1,1,0,1,1,0,0,0
11.42,56.85,8.0,400.0,12745.0,19758.0,939.818,0.29,0.34,1.87,0.361,0.05,0.02,0,1,1,0,0,0,1,1,1,1,1,1
-5.888,47.92,30.0,400.0,13260.0,20187.0,939.662,2.07,2.15,14.22,2.217,0.05,0.075,1,1,1,0,1,1,1,1,1,1,1,1
1.193,55.39,915.0,480.0,12785.0,19503.0,939.108,2.17,2.26,14.94,2.33,0.053,1.90625,0,1,1,0,0,0,0,1,1,0,0,0
14.116,53.15,1134.0,464.0,12860.0,19448.0,938.853,2.09,2.17,14.38,2.243,0.051,2.4439655172413794,0,0,1,0,0,1,0,0,1,0,0,0
25.809,55.88,0.0,400.0,12849.0,19836.0,939.83,0.4,0.44,2.72,0.453,0.027,0.0,0,0,0,0,0,0,1,1,1,1,1,1
-10.261,49.96,1398.0,424.0,12950.0,19378.0,938.729,1.75,1.82,12.04,1.878,0.042,3.297169811320755,1,1,1,0,1,1,0,0,0,0,0,1
26.2,46.7,61.0,400.0,12786.0,20668.0,937.4915,1.79,1.86,12.31,1.919,0.043,0.1525,0,0,0,1,1,1,1,1,1,1,1,1
12.422,47.16,1084.0,480.0,12808.0,19455.0,939.041,2.4,2.5,16.53,2.578,0.058,2.2583333333333333,0,1,1,1,1,1,0,0,1,0,0,0
28.56,42.09,68.0,400.0,12791.0,20644.0,937.4915,1.85,1.93,12.76,1.989,0.045,0.17,0,0,0,1,1,1,1,1,1,1,1,1
16.47,48.49,1203.0,480.0,12845.0,19434.0,938.905,1.65,1.71,11.32,1.766,0.04,2.50625,0,0,1,0,1,1,0,0,0,0,0,0
20.749,52.79,1258.0,418.0,12910.0,19415.0,938.697,1.44,1.5,9.93,1.548,0.035,3.0095693779904304,0,0,1,0,0,1,0,0,0,0,0,1
20.625,53.79,1212.0,412.0,12914.0,19422.0,938.711,1.86,1.93,12.8,1.996,0.045,2.941747572815534,0,0,1,0,0,0,0,0,0,0,0,1
13.903,47.96,1256.0,439.0,12878.0,19421.0,938.748,2.25,2.34,15.51,2.419,0.055,2.861047835990888,0,0,1,0,1,1,0,0,0,0,0,0
26.131,53.71,10.0,400.0,12882.0,19845.0,939.833,0.23,0.24,1.58,0.246,0.006,0.025,0,0,0,0,0,0,1,1,1,1,1,1
19.504,47.54,1218.0,401.0,12928.0,19425.0,938.709,1.32,1.37,9.07,1.414,0.032,3.0374064837905235,0,0,1,1,1,1,0,0,0,0,0,1
-7.216,53.91,1299.0,400.0,12995.0,19398.0,938.79,1.82,1.89,12.51,1.951,0.044,3.2475,1,1,1,0,0,0,0,0,0,1,1,1
18.549,48.19,1134.0,400.0,12934.0,19444.0,938.703,1.44,1.49,9.89,1.542,0.035,2.835,0,0,1,0,1,1,0,0,1,1,1,1
-4.094,49.98,299.0,400.0,13120.0,19963.0,939.403,0.41,0.43,2.85,0.445,0.01,0.7475,0,1,1,0,1,1,0,1,1,1,1,1
11.997,53.35,1147.0,414.0,12877.0,19442.0,938.808,1.95,2.03,13.43,2.094,0.047,2.7705314009661834,0,1,1,0,0,0,0,0,1,0,0,1
4.206,53.11,1356.0,440.0,12937.0,19380.0,938.68,2.13,2.21,14.65,2.285,0.052,3.081818181818182,0,1,1,0,0,1,0,0,0,0,0,0
26.995,56.43,21.0,400.0,13056.0,19938.0,939.787,0.35,0.36,2.4,0.374,0.008,0.0525,0,0,0,0,0,0,1,1,1,1,1,1
18.977,53.81,1155.0,410.0,12910.0,19439.0,938.696,1.39,1.45,9.6,1.496,0.034,2.817073170731707,0,0,1,0,0,0,0,0,1,0,0,1
-4.1,54.91,306.0,400.0,13109.0,19959.0,939.431,0.26,0.27,1.78,0.277,0.006,0.765,0,1,1,0,0,0,0,1,1,1,1,1
15.744,53.78,1145.0,400.0,12911.0,19446.0,938.734,1.57,1.63,10.79,1.683,0.038,2.8625,0,0,1,0,0,0,0,0,1,1,1,1
-4.695,58.05,677.0,480.0,12754.0,19580.0,939.163,2.57,2.67,17.66,2.753,0.062,1.4104166666666669,1,1,1,0,0,0,0,1,1,0,0,0
15.773,53.53,1208.0,400.0,12934.0,19423.0,938.716,1.42,1.48,9.78,1.525,0.034,3.02,0,0,1,0,0,0,0,0,0,1,1,1
18.674,47.59,950.0,480.0,12827.0,19486.0,939.048,2.02,2.1,13.93,2.172,0.049,1.9791666666666667,0,0,1,1,1,1,0,1,1,0,0,0
